Speed,Stage,Event,Finish,Distance,Winner, 
"43,824",Tour de France 2008 - Stage 2 RR,Stage in line,Saint-Brieuc,164.5,Thor Hushovd,
"43,761",Tour de France 1970 - Stage6 ,Stage in line,Valenciennes,135.5,Roger De Vlaeminck,
"43,740",Tour de France 1991 - Stage9 ,Stage in line,Rennes,161,Mauro Ribeiro,
"43,736",Tour de France 1980 - Stage4 ITT,Individual time trial,Paris,34.6,Bernard Hinault,
"43,734",Tour de France 2009 - Stage 5 RR,Stage in line,Perpignan,196.5,Thomas Voeckler,
"43,727",Tour de France 1986 - Stage8 ,Stage in line,Nantes,204.0,Eddy Planckaert,
"43,694",Tour de France 2012 - Stage 13 RR,Stage in line,"Le Cap d'Agde",217.0,André Greipel,
"43,661",Tour de France 2001 - Stage 6 RR,Stage in line,Strasbourg,211.5,Jann Kirsipuu,
"43,653",Tour de France 2007 - Stage 1 RR,Stage in line,Canterbury,203.0,Robbie McEwen,
"43,634",Tour de France 1994 - Stage 7 ,Stage in line,Futuroscope,259.5,Ján Svorada,
"43,628",Tour de France 1985 - Stage21 ITT,Individual time trial,Paris,45.7,Greg Lemond,
"43,610",Tour de France 2008 - Stage 18 RR,Stage in line,Saint-Etienne,196.5,Markus Burghardt,
"43,605",Tour de France 2006 - Stage 3 RR,Stage in line,Valkenburg,216.5,Matthias Kessler,
"43,598",Tour de France 1962 - Stage20 ITT,Individual time trial,Lyon,68,Jacques Anquetil,
"43,596",Tour de France 1961 - Stage19 ITT,Individual time trial,Périgueux,74.5,Jacques Anquetil,
"43,569",Tour de France 1975 - Stage1a ,Stage in line,Molenbeek,94,Cees Priem,
"43,564",Tour de France 1990 - Stage 20 ITT,Individual time trial,Paris,45.5,Erik Breukink,
"43,561",Tour de France 1963 - Stage1 ,Stage in line,Épernay,152.5,Eddy Pauwels,
"43,536",Tour de France 1996 - Stage 13 ,Stage in line,Super-Besse,177.0,Rolf Sørensen,
"43,536",Tour de France 1999 - Stage 18 RR,Stage in line,Futuroscope,187.0,Gian-Paolo Mondini,
"43,507",Tour de France 1975 - Stage22 ,Stage in line,Paris,163.5,Walter Godefroot,
"43,459",Tour de France 1999 - Stage 11 RR,Stage in line,Saint-Etienne,198.5,Ludo Dierckxsens,
"43,439",Tour de France 1976 - Prologue ITT,Individual time trial,Saint-Jean-de-Monts,8,Freddy Maertens,
"43,424",Tour de France 1978 - Stage 20 ITT,Individual time trial,Nancy,72,Bernard Hinault,
"43,399",Tour de France 2009 - Stage 12 RR,Stage in line,Vittel,211.5,Nicki Sørensen,
"43,390",Tour de France 1959 - Stage7 ,Stage in line,La Rochelle,190,Roger Hassenforder,
"43,383",Tour de France 2001 - Stage 3 RR,Stage in line,Seraing,198.5,Erik Zabel,
"43,382",Tour de France 1998 - Stage 4 RR,Stage in line,Cholet,252.0,Jeroen Blijlevens,
"43,381",Tour de France 1978 - Stage 8 ITT,Individual time trial,Sainte-Foy-la-Grande,59.299,Bernard Hinault,
"43,372",Tour de France 1993 - Stage 5 ,Stage in line,Évreux,225.5,Jesper Skibby,
"43,365",Tour de France 1965 - Stage6 ,Stage in line,La Baule,210.5,Guido Reybrouck,
"43,362",Tour de France 1960 - Stage5 ,Stage in line,Saint-Malo,189,André Darrigade,
"43,334",Tour de France 1987 - Stage4 ,Stage in line,Pforzheim,79,Herman Frison,
"43,333",Tour de France 2011 - Stage 6 RR,Stage in line,Lisieux,226.5,Edvald Boasson Hagen,
"43,332",Tour de France 1963 - Stage6a ,Stage in line,Angers,118.5,Roger De Breucker,
"43,318",Tour de France 2004 - Stage 1 RR,Stage in line,Charleroi,202.5,Jann Kirsipuu,
"43,314",Tour de France 1968 - Stage1a ITT,Individual time trial,Vittel,6.1,Charly Grosskost,
"43,310",Tour de France 1999 - Stage 3 RR,Stage in line,Laval,194.5,Tom Steels,
"43,309",Tour de France 2010 - Stage 1 RR,Stage in line,Brussels,223.5,Alessandro Petacchi,
"43,266",Tour de France 1995 - Stage 2 ,Stage in line,Vitré,235.5,Mario Cipollini,
"43,252",Tour de France 1993 - Stage 13 ,Stage in line,Montpellier,182.5,Olaf Ludwig,
"43,226",Tour de France 2005 - Stage 19 RR,Stage in line,Le Puy-en-Velay,153.5,Giuseppe Guerini,
"43,200",Tour de France 1939 - Stage10b ,Stage in line,Béziers,27,Maurice Archambaud,
"43,194",Tour de France 1997 - Stage 12 ITT,Individual time trial,Saint-Etienne,55,Jan Ullrich,
"43,178",Tour de France 2012 - Stage 15 RR,Stage in line,Pau,158.5,Pierrick Fédrigo,
"43,175",Tour de France 1971 - Stage1c ,Stage in line,Mulhouse,74.5,Albert Van Vlierberghe,
"43,171",Tour de France 1983 - Stage2 TTT,Team time trial,Fontaine-au-Pire,100,Coop (-1984),
"43,142",Tour de France 1982 - Stage14 ITT,Individual time trial,Martigues,32.5,Bernard Hinault,
"43,137",Tour de France 2005 - Stage 12 RR,Stage in line,Digne-les-Bains,187.0,David Moncoutié,
"43,132",Tour de France 1967 - Stage5a ,Stage in line,Jambes,172.0,Roger Pingeon,
"43,128",Tour de France 1970 - Stage7b ITT,Individual time trial,Vorst,7.2,José Antonio González Linares,
"43,114",Tour de France 1998 - Stage 13 RR,Stage in line,Carpentras,196.0,Daniele Nardello,
"43,113",Tour de France 1965 - Stage7 ,Stage in line,La Rochelle,219.0,Ward Sels,
"43,055",Tour de France 1961 - Stage1b ITT,Individual time trial,Versailles,28.5,Jacques Anquetil,
"43,020",Tour de France 1986 - Stage1 ,Stage in line,Sceaux,85,Pol Verschuere,
"43,018",Tour de France 1988 - Stage10 ,Stage in line,Besançon,149.5,Jean-Paul van Poppel,
"43,010",Tour de France 2004 - Stage 8 RR,Stage in line,Quimper,168,Thor Hushovd,
"43,006",Tour de France 1992 - Stage10 ,Stage in line,Strasbourg,217.0,Jean-Paul van Poppel,
"43,003",Tour de France 1998 - Stage 5 RR,Stage in line,Châteauroux,228.5,Mario Cipollini,
"42,991",Tour de France 2000 - Stage 21 RR,Stage in line,Paris,138.0,Stefano Zanini,
"42,986",Tour de France 1963 - Stage9 ,Stage in line,Pau,202.0,Pino Cerami,
"42,986",Tour de France 2009 - Stage 14 RR,Stage in line,Besançon,199.0,Sergei Ivanov,
"42,981",Tour de France 1984 - Stage1 ,Stage in line,Paris Saint-Denis,148.5,Frank Hoste,
"42,978",Tour de France 1955 - Stage6 ,Stage in line,Zurich,195,André Darrigade,
"42,978",Tour de France 2007 - Stage 10 RR,Stage in line,Marseille,229.5,Cédric Vasseur,
"42,969",Tour de France 2004 - Stage 6 RR,Stage in line,Angers,196.0,Tom Boonen,
"42,952",Tour de France 1999 - Stage 14 RR,Stage in line,Saint-Gaudens,199.0,Dmitri Konychev,
"42,949",Tour de France 2010 - Stage 2 RR,Stage in line,Spa,201.0,Sylvain Chavanel,
"42,917",Tour de France 2008 - Stage 1 RR,Stage in line,Plumelec,197.5,Alejandro Valverde,
"42,911",Tour de France 1957 - Stage20 ITT,Individual time trial,Libourne,66.0,Jacques Anquetil,
"42,874",Tour de France 2006 - Stage 8 RR,Stage in line,Lorient,181,Sylvain Calzati,
"42,873",Tour de France 2000 - Stage 11 RR,Stage in line,Revel,218.5,Erik Dekker,
"42,865",Tour de France 2010 - Stage 18 RR,Stage in line,Bordeaux,198,Mark Cavendish,
"42,865",Tour de France 1984 - Stage5 ,Stage in line,Cergy-Pontoise,207,Paulo José Ferreira,
"42,854",Tour de France 2010 - Stage 4 RR,Stage in line,Reims,153.5,Alessandro Petacchi,
"42,850",Tour de France 1958 - Stage9 ,Stage in line,Saint-Nazaire,206.0,André Darrigade,
"42,787",Tour de France 1959 - Stage1 ,Stage in line,Metz,238.0,André Darrigade,
"42,742",Tour de France 1973 - Prologue ITT,Individual time trial,Scheveningen,7.1,Joop Zoetemelk,
"42,731",Tour de France 1958 - Stage11 ,Stage in line,Bordeaux,137.0,Arrigo Padovan,
"42,706",Tour de France 1966 - Stage1 ,Stage in line,Charleville-Mézières,208.5,Rudi Altig,
"42,686",Tour de France 1954 - Stage8 ,Stage in line,Angers,190,Fred De Bruyne,
"42,657",Tour de France 1970 - Stage2 ,Stage in line,Angers,200.0,Italo Zilioli,
"42,614",Tour de France 1971 - Stage13 ITT,Individual time trial,Albi,16.3,Eddy Merckx,
"42,610",Tour de France 2008 - Stage 8 RR,Stage in line,Toulouse,172.5,Mark Cavendish,
"42,593",Tour de France 1989 - Stage12 ,Stage in line,Montpellier,242.0,Valerio Tebaldi,
"42,590",Tour de France 1983 - Stage1 ,Stage in line,Créteil,163,Frits Pirard,
"42,574",Tour de France 2006 - Stage 14 RR,Stage in line,Gap,180.5,Pierrick Fédrigo,
"42,568",Tour de France 1968 - Stage3b ,Stage in line,Roubaix,112,Walter Godefroot,
"42,565",Tour de France 1989 - Stage11 ,Stage in line,Blagnac,154.5,Mathieu Hermans,
"42,546",Tour de France 2003 - Stage 10 RR,Stage in line,Marseille,219.5,Jakob Piil,
"42,533",Tour de France 1975 - Prologue ITT,Individual time trial,Charleroi,6.25,Francesco Moser,
"42,514",Tour de France 2006 - Stage 13 RR,Stage in line,Montélimar,230.0,Jens Voigt,
"42,507",Tour de France 1979 - Stage21 ITT,Individual time trial,Dijon,48.8,Bernard Hinault,
"42,504",Tour de France 1956 - Stage14 ,Stage in line,Montpellier,231.0,Roger Hassenforder,
"42,503",Tour de France 1994 - Stage 13 ,Stage in line,Albi,223.0,Bjarne Riis,
"42,475",Tour de France 1965 - Stage5b ITT,Individual time trial,Châteaulin,26.7,Raymond Poulidor,
"42,456",Tour de France 2008 - Stage 5 RR,Stage in line,Châteauroux,232.0,Mark Cavendish,
"42,437",Tour de France 1956 - Stage4b ,Stage in line,Caen,125,Roger Hassenforder,
"42,424",Tour de France 1986 - Stage7 ,Stage in line,Saint-Hilaire-du-Harcouët,210.0,Ludo Peeters,
"42,403",Tour de France 1977 - Stage20 ITT,Individual time trial,Dijon,50,Bernard Thevenet,
"42,376",Tour de France 2011 - Stage 3 RR,Stage in line,Redon,198,Tyler Farrar,
"42,374",Tour de France 1966 - Stage14a ,Stage in line,Aubenas,144,Jo de Roo,
"42,365",Tour de France 1977 - Stage12 ,Stage in line,Charleroi,192.5,Patrick Sercu,
"42,364",Tour de France 1956 - Stage8 ,Stage in line,La Rochelle,180,Miguel Poblet,
"42,344",Tour de France 1997 - Stage 19 RR,Stage in line,Dijon,172.0,Mario Traversoni,
"42,342",Tour de France 2006 - Stage 5 RR,Stage in line,Caen,225.0,Óscar Freire,
"42,327",Tour de France 1988 - Stage9 ,Stage in line,Strasbourg,160.5,Jérôme Simon,
"42,321",Tour de France 2010 - Stage 12 RR,Stage in line,Mende,210.5,Joaquim Rodríguez,
"42,318",Tour de France 1995 - Stage 20 ,Stage in line,Paris,155,Dzamolidine Abduzhaparov,
"42,275",Tour de France 1988 - Stage17 ,Stage in line,Bordeaux,210.0,Jean-Paul van Poppel,
"42,260",Tour de France 1988 - Stage18 ,Stage in line,Limoges,93.5,Gianni Bugno,
"42,257",Tour de France 1995 - Stage 7 ,Stage in line,Liège,203.0,Johan Bruyneel,
"42,216",Tour de France 1958 - Stage5 ,Stage in line,Caen,232.0,Tino Sabbadini,
"42,204",Tour de France 1966 - Stage14b ITT,Individual time trial,Vals-les-Bains,20,Raymond Poulidor,
"42,199",Tour de France 1971 - Stage1a ,Stage in line,Basel,59.5,Eric Leman,
"42,190",Tour de France 1993 - Stage 8 ,Stage in line,Verdun,184.5,Lance Armstrong,
"42,188",Tour de France 2008 - Stage 11 RR,Stage in line,Foix,167.5,Kurt-Asle Arvesen,
"42,184",Tour de France 1978 - Stage 1b RR,Stage in line,Brussels,100,Walter Planckaert,
"42,164",Tour de France 1977 - Stage22b ,Stage in line,Paris,90.7,Alain Meslet,
"42,164",Tour de France 1936 - Stage20b ITT,Individual time trial,Caen,55,Antonin Magne,
"42,154",Tour de France 1995 - Stage 11 ,Stage in line,Saint-Etienne,199.0,Max Sciandri,
"42,138",Tour de France 1979 - Stage9 ,Stage in line,Roubaix,203.0,Ludo Delcroix,
"42,119",Tour de France 1999 - Stage 1 RR,Stage in line,Challans,208,Jann Kirsipuu,
"42,102",Tour de France 1936 - Stage18b ITT,Individual time trial,La Rochelle,75,Sylvère Maes,
"42,102",Tour de France 2005 - Stage 17 RR,Stage in line,Revel,239.5,Paolo Savoldelli,
"42,083",Tour de France 2002 - Stage 7 RR,Stage in line,Avranches,176,Bradley McGee,
"42,044",Tour de France 1974 - Stage1 ,Stage in line,Saint-Pol-de-Léon,144,Ercole Gualazzini,
"42,031",Tour de France 1992 - Stage1 ,Stage in line,San Sebastián,194.5,Dominique Arnould,
"42,022",Tour de France 1974 - Stage2 ,Stage in line,Plymouth,163.7,Henk Poppe,
"42,003",Tour de France 1970 - Stage4 ,Stage in line,Lisieux,229.0,Walter Godefroot,
"41,996",Tour de France 1996 - Stage 21 ,Stage in line,Paris,147.5,Fabio Baldato,
"41,979",Tour de France 1970 - Stage3b ,Stage in line,Rennes,140,Marino Basso,
"41,943",Tour de France 1961 - Stage1a ,Stage in line,Versailles,136.5,André Darrigade,
"41,937",Tour de France 1963 - Stage2a ,Stage in line,Jambes,185.5,Rik Van Looy,
"41,924",Tour de France 1958 - Stage10 ,Stage in line,Royan,255.0,Pierino Baffi,
"41,922",Tour de France 2012 - Stage 2 RR,Stage in line,Tournai,207.5,Mark Cavendish,
"41,911",Tour de France 1956 - Stage1 ,Stage in line,Liège,223.0,André Darrigade,
"41,910",Tour de France 1995 - Stage 13 ,Stage in line,Revel,245.0,Sergei Utchakov,
"41,910",Tour de France 1939 - Stage17b ITT,Individual time trial,Dijon,59,Maurice Archambaud,
"41,895",Tour de France 1978 - Stage 4 TTT,Team time trial,Caen,153,T.I. Raleigh - Campagnolo (-1983),
"41,890",Tour de France 1936 - Stage19b ITT,Individual time trial,Cholet,65,Félicien Vervaecke,
"41,890",Tour de France 1983 - Stage21 ITT,Individual time trial,Dijon,50,Laurent Fignon,
"41,886",Tour de France 1958 - Stage7 ,Stage in line,Brest,170,Brian Robinson,
"41,883",Tour de France 2012 - Stage 5 RR,Stage in line,Saint-Quentin,196.5,André Greipel,
"41,878",Tour de France 2004 - Stage 11 RR,Stage in line,Figeac,164,David Moncoutié,
"41,839",Tour de France 1995 - Stage 12 ,Stage in line,Mende,222.5,Laurent Jalabert,
"41,833",Tour de France 1992 - Stage15 ,Stage in line,Saint-Etienne,198,Franco Chioccioli,
"41,809",Tour de France 1986 - Stage6 ,Stage in line,Cherbourg,200.0,Guido Bontempi,
"41,798",Tour de France 1996 - Stage 1 ,Stage in line,"'s-Hertogenbosch",209.0,Frédéric Moncassin,
"41,793",Tour de France 2002 - Stage 2 RR,Stage in line,Saarbrücken,181,Óscar Freire,
"41,792",Tour de France 1996 - Stage 19 ,Stage in line,Bordeaux,226.5,Frédéric Moncassin,
"41,772",Tour de France 2012 - Stage 3 RR,Stage in line,Boulogne-sur-Mer,197,Peter Sagan,
"41,771",Tour de France 1967 - Stage2 ,Stage in line,Caen,180,Willy Vanneste,
"41,755",Tour de France 1990 - Stage 1 RR,Stage in line,Futuroscope,138.5,Frans Maassen,
"41,731",Tour de France 1971 - Stage6a ,Stage in line,Amiens,127.5,Eric Leman,
"41,728",Tour de France 1961 - Stage2 ,Stage in line,Roubaix,230.5,André Darrigade,
"41,720",Tour de France 2001 - Stage 16 RR,Stage in line,Sarran,227.5,Jens Voigt,
"41,710",Tour de France 1970 - Stage7a ,Stage in line,Vorst,119,Eddy Merckx,
"41,687",Tour de France 2007 - Stage 4 RR,Stage in line,Joigny,193,Thor Hushovd,
"41,686",Tour de France 1975 - Stage3 ,Stage in line,Versailles,169.5,Karel Rottiers,
"41,686",Tour de France 1984 - Stage12 ,Stage in line,Blagnac,111,Pascal Poisson,
"41,685",Tour de France 1960 - Stage19 ITT,Individual time trial,Besançon,83,Rolf Graf,
"41,679",Tour de France 2003 - Stage 20 RR,Stage in line,Paris,152,Jean-Patrick Nazon,
"41,672",Tour de France 1959 - Stage21a ITT,Individual time trial,Dijon,69.199,Roger Rivière,
"41,660",Tour de France 1955 - Stage16 ,Stage in line,Toulouse,123,Rik Van Steenbergen,
"41,653",Tour de France 1999 - Stage 7 RR,Stage in line,Thionville,227.0,Mario Cipollini,
"41,647",Tour de France 1997 - Stage 5 RR,Stage in line,La Châtre,261.5,Cédric Vasseur,
"41,639",Tour de France 1999 - Stage 5 RR,Stage in line,Amiens,233.5,Mario Cipollini,
"41,636",Tour de France 2009 - Stage 6 RR,Stage in line,Barcelona,181.5,Thor Hushovd,
"41,628",Tour de France 2011 - Stage 17 RR,Stage in line,Pinerolo,179,Edvald Boasson Hagen,
"41,587",Tour de France 1986 - Stage11 ,Stage in line,Bordeaux,258.3,Rudy Dhaenens,
"41,585",Tour de France 1958 - Stage6 ,Stage in line,Saint-Brieuc,223.0,Martin Van Geneugden,
"41,581",Tour de France 1960 - Stage3 ,Stage in line,Dieppe,209.0,Nino Defilippis,
"41,566",Tour de France 1959 - Stage12 ,Stage in line,Albi,184,Rolf Graf,
"41,550",Tour de France 2009 - Stage 2 RR,Stage in line,Brignoles,187.0,Mark Cavendish,
"41,545",Tour de France 1963 - Stage8 ,Stage in line,Bordeaux,231.5,Rik Van Looy,
"41,538",Tour de France 2010 - Stage 5 RR,Stage in line,Montargis,187.5,Mark Cavendish,
"41,534",Tour de France 1974 - Stage20 ,Stage in line,Nantes,120,Gerard Vianen,
"41,488",Tour de France 1966 - Stage2 ,Stage in line,Tournai,198,Guido Reybrouck,
"41,478",Tour de France 1937 - Stage13b ,Stage in line,Perpignan,63.0,Eloï Meulenberg,
"41,423",Tour de France 2006 - Stage 4 RR,Stage in line,Saint-Quentin,207,Robbie McEwen,
"41,402",Tour de France 1968 - Stage9 ,Stage in line,Bordeaux,137.5,Walter Godefroot,
"41,400",Tour de France 1992 - Stage18 ,Stage in line,Tours,212.0,Thierry Marie,
"41,394",Tour de France 1962 - Stage6 ,Stage in line,Brest,235.5,Robert Cazala,
"41,383",Tour de France 1976 - Stage18c ,Stage in line,Bordeaux,70.5,Gerben Karstens,
"41,379",Tour de France 1978 - Stage 12b RR,Stage in line,Toulouse,96,Jacques Esclassan,
"41,360",Tour de France 1955 - Stage21 ITT,Individual time trial,Tours,68.6,Jean Brankart,
"41,355",Tour de France 1988 - Stage7 ,Stage in line,Reims,225.5,Valerio Tebaldi,
"41,354",Tour de France 1991 - Stage7 ,Stage in line,Argentan,167.0,Jean-Paul van Poppel,
"41,347",Tour de France 1987 - Stage15 ,Stage in line,Blagnac,164,Rolf Gölz,
"41,323",Tour de France 1968 - Stage22b ITT,Individual time trial,Paris,55.2,Jan Janssen,
"41,321",Tour de France 2002 - Stage 13 RR,Stage in line,Béziers,171,David Millar,
"41,315",Tour de France 2005 - Stage 9 RR,Stage in line,Mulhouse,171,Michael Rasmussen,
"41,309",Tour de France 1957 - Stage1 ,Stage in line,Granville,204.0,André Darrigade,
"41,309",Tour de France 1998 - Stage 14 RR,Stage in line,Grenoble,186.5,"Stuart O'Grady",
"41,304",Tour de France 1964 - Stage17 ITT,Individual time trial,Bayonne,42.6,Jacques Anquetil,
"41,283",Tour de France 2002 - Stage 3 RR,Stage in line,Reims,174.5,Robbie McEwen,
"41,266",Tour de France 1938 - Stage6a ,Stage in line,Arcachon,52.5,Jules Rossi,
"41,259",Tour de France 1968 - Stage1b ,Stage in line,Esch-sur-Alzette,189,Charly Grosskost,
"41,249",Tour de France 1992 - Stage17 ,Stage in line,Montluçon,189,Jean-Claude Colotti,
"41,249",Tour de France 1962 - Stage9 ,Stage in line,Bordeaux,214.0,Antonio Bailetti,
"41,244",Tour de France 1956 - Stage6 ,Stage in line,Lorient,192.0,Fred De Bruyne,
"41,240",Tour de France 1989 - Stage13 ,Stage in line,Marseille,177.0,Vincent Barteau,
"41,208",Tour de France 1948 - Stage 4 RR,Stage in line,La Rochelle,166,Jacques Pras,
"41,149",Tour de France 1967 - Stage3 ,Stage in line,Amiens,248.0,Marino Basso,
"41,146",Tour de France 1999 - Stage 12 RR,Stage in line,Saint-Flour,201.5,David Etxebarría,
"41,145",Tour de France 1997 - Stage 1 RR,Stage in line,Forges-les-Eaux,192.0,Mario Cipollini,
"41,134",Tour de France 1996 - Stage 12 ,Stage in line,Le Puy-en-Velay,143.5,Pascal Richard,
"41,129",Tour de France 2011 - Stage 4 RR,Stage in line,Mûr-de-Bretagne,172.5,Cadel Evans,
"41,123",Tour de France 1959 - Stage8 ,Stage in line,Bordeaux,201.0,Michel Dejouhannet,
"41,114",Tour de France 1968 - Stage8 ,Stage in line,Royan,223.0,Daniël Van Rijckeghem,
"41,102",Tour de France 1990 - Stage 9 RR,Stage in line,Geneva,196.0,Massimo Ghirotto,
"41,099",Tour de France 2008 - Stage 13 RR,Stage in line,Nîmes,182.0,Mark Cavendish,
"41,088",Tour de France 1991 - Stage19 ,Stage in line,Aix-les-Bains,177.0,Dmitri Konychev,
"41,083",Tour de France 1986 - Stage10 ,Stage in line,Futuroscope,183.0,José Angel Sarrapio,
"41,076",Tour de France 1948 - Stage 17 ITT,Individual time trial,Strasbourg,120,Roger Lambrecht,
"41,071",Tour de France 1958 - Stage8 ITT,Individual time trial,Châteaulin,46,Charly Gaul,
"41,066",Tour de France 1987 - Stage7 ,Stage in line,Troyes,211,Manuel Jorge Dominguez,
"41,038",Tour de France 1985 - Stage9 ,Stage in line,Épinal,173.5,Maarten Ducrot,
"41,028",Tour de France 1960 - Stage8 ,Stage in line,Limoges,240.0,Nino Defilippis,
"41,017",Tour de France 1935 - Stage13b ITT,Individual time trial,Montpellier,52,Georges Speicher,
"41,010",Tour de France 1970 - Stage10 ,Stage in line,Divonne-les-Bains,241.0,Eddy Merckx,
"40,995",Tour de France 1938 - Stage10b ITT,Individual time trial,Béziers,27,Félicien Vervaecke,
"40,976",Tour de France 1975 - Stage4 ,Stage in line,Le Mans,223.0,Jacques Esclassan,
"40,974",Tour de France 1965 - Stage19 ,Stage in line,Lyon,165,Rik Van Looy,
